iso3,gpi_score,ppi_score,numbeo_safety_index,gti_score,numbeo_crime_index,pvi_score
AND,,,1.9600928118343748,,-1.9600928118343752,1.58346593379974
ARE,-0.5242161034846676,-0.7088787298792117,1.9469271846325849,-0.2157078403144644,-1.946927184632585,0.677530944347382
AFG,2.338371827937291,1.4610179749925625,-1.9764297215008295,2.380778040350565,1.9764297215008289,-2.48408055305481
ALB,-0.5242161034846676,-0.322071056402069,0.0247456131712473,-0.7184462307522365,-0.0247456131712478,0.183348968625069
ARM,-0.3605819309757202,-0.2937680559037416,1.5124614869735156,-0.4111697951705763,-1.5124614869735156,-0.829278230667114
AGO,-0.1706854838665706,0.9798669665209948,-1.39714212462207,-0.0112836560872209,1.3971421246220697,-0.34150505065918
ARG,-0.6131038021315034,-0.3935024386121341,-1.2062405301961154,-0.3766011961676393,1.206240530196115,-0.127517908811569
AUT,-1.5706667375542334,-1.5404478397586427,1.025333280507286,-0.4700644453237278,-1.0253332805072866,0.727989196777344
AUS,-1.1444098190432717,-1.769567367602246,-0.146407540452022,0.1235765573069521,0.1464075404520215,0.91705721616745
AZE,-0.0090714863268696,0.5175846250483127,0.8739285676867015,-0.6190081620153934,-0.8739285676867019,-0.730753898620605
BIH,-0.3565415810372276,,,-0.1986369272265948,,-0.353373318910599
BRB,,,0.0115799859694576,,-0.0115799859694581,1.18712854385376
BGD,0.4979924309539428,0.7952235823176202,-1.0877498853800058,0.5746754356539171,1.0877498853800054,-0.908656716346741
BEL,-1.1706720936434734,-1.6159225077541828,-0.2846466260708169,-0.1435832325182138,0.2846466260708164,0.403853088617325
BFA,1.9080745594878363,0.6361876747555898,,2.943691399423079,,-2.035231590271
BGR,-0.9322914472724128,-0.5215398218188534,0.5908675828482166,-0.7184462307522365,-0.590867582848217,0.341861486434937
BHR,0.0555741126890109,0.0957351414303843,1.3544739605520355,-0.6932666339476286,-1.354473960552036,-0.373967587947845
BDI,1.0151572230809864,1.203595446650631,,1.0069963096042256,,-1.17240297794342
BEN,0.281833709244592,0.335636764701922,,1.330916885446559,,-0.346559435129166
BRN,,,1.0384989077090765,,-1.0384989077090767,1.36600065231323
BOL,-0.1343223344201387,0.3814606702706424,-1.311565547810435,-0.7184462307522365,1.3115655478104349,-0.313183635473251
BRA,0.8090993762178676,0.1065172368583186,-1.2786514798059605,-0.1081610878608834,1.27865147980596,-0.408567786216736
BHS,,,-0.7783576461379411,,0.7783576461379407,1.00856232643127
BTN,-1.0817843949966377,-0.0686918138456138,,-0.7184462307522365,,0.982800424098969
BWA,-0.6636081763626595,-0.2075112924802673,-0.5018794749003519,-0.7184462307522365,0.5018794749003513,1.03843998908997
BLR,0.3949635075223829,0.2345546200650378,-0.3109778804743968,-0.6190081620153934,0.3109778804743963,-0.729365646839142
BLZ,,,-0.5018794749003519,,0.5018794749003513,0.58532577753067
CAN,-1.1726922686127184,-1.7453076528893938,-0.0410825228377025,0.0796189561056869,0.041082522837702,0.822420537471771
CAF,1.6979763626862243,1.7197882652629852,,-0.3100246351249464,,-2.20310711860657
CHE,-1.5706667375542334,-2.0862914207978154,1.2228176885341355,-0.1785786043483473,-1.2228176885341362,1.07144391536713
CIV,-0.0110916612961165,,,-0.0979185400081614,,-0.631788194179535
CHL,-0.3484608811602426,-1.0229072592177972,-1.015338935770161,1.4845551032373894,1.0153389357701603,0.13615994155407
CMR,1.2353562947288297,1.2049432085791232,-1.3444796158149104,2.2450642813019988,1.34447961581491,-1.40043640136719
CHN,0.0434530628735324,0.0553022835756304,1.3873880285565106,0.0766315463153094,-1.387388028556511,-0.513097047805786
COL,1.2595983943597846,0.1685142855689405,-1.0416701901737409,2.0047911795902285,1.0416701901737402,-0.717313230037689
CRI,-0.461590679438034,-0.8382638750144226,-0.5940388653128816,-0.7184462307522365,0.5940388653128812,0.984186828136444
CUB,0.1040583119509213,0.4245890519823795,0.7027754140634311,-0.7184462307522365,-0.7027754140634316,0.384215950965881
CYP,-0.2797749322058695,-1.0592968312870756,0.7883519908750668,-0.5703560597149643,-0.7883519908750668,0.409627169370651
CZE,-1.2858220668905098,-1.2601133586323514,1.2228176885341355,0.5217556050815206,-1.2228176885341362,0.967361629009247
DEU,-1.087844919904376,-1.752046462531853,0.3736347340186821,1.3078711527779348,-0.3736347340186821,0.586989283561707
DJI,0.4131450822455991,0.8949579650260128,,-0.0949311302177839,,-0.516700983047485
DNK,-1.3706694155988537,-2.1617660887933554,1.2557317565386106,-0.4111697951705763,-1.255731756538611,0.850847959518433
DOM,-0.1525039091433548,0.1253859038572033,-1.015338935770161,-0.7184462307522365,1.0153389357701603,0.239014014601707
DZA,-0.059575860558027,0.4879338626214937,-0.4952966612994567,0.3122101469279159,0.4952966612994563,-0.577885270118713
ECU,0.7828371016176664,0.2412934297074966,-1.1469952077880607,-0.0569483485972733,1.1469952077880603,-0.338139981031418
EST,-1.035320370703973,-1.3180671215574984,1.4071364693591952,-0.7184462307522365,-1.4071364693591957,0.660533905029297
EGY,0.172744260905294,0.7777026772472272,-0.146407540452022,1.1661825741486136,0.1464075404520215,-0.866764307022095
ERI,0.950511624065106,1.5041463567042994,,-0.7184462307522365,,-0.792767763137817
ESP,-0.9969370462882944,-1.1630744997809428,0.5579535148437417,-0.1824195597931178,-0.5579535148437421,0.287291556596756
ETH,1.2454571695750614,0.9987356335198802,-0.370223202882452,-0.3825760157483939,0.3702232028824516,-1.96956777572632
FIN,-1.3161246914292042,-2.164461612650339,1.2030692477314509,-0.3134388177425203,-1.2030692477314513,0.713986694812775
