iso2,gpi_score,ppi_score,numbeo_safety_index,gti_score,numbeo_crime_index,iso3
AD,,,1.9600928118343748,,-1.9600928118343752,AND
AE,-0.5242161034846676,-0.7088787298792117,1.9469271846325849,-0.2157078403144644,-1.946927184632585,ARE
AF,2.338371827937291,1.4610179749925625,-1.9764297215008295,2.380778040350565,1.9764297215008289,AFG
AL,-0.5242161034846676,-0.322071056402069,0.0247456131712473,-0.7184462307522365,-0.0247456131712478,ALB
AM,-0.3605819309757202,-0.2937680559037416,1.5124614869735156,-0.4111697951705763,-1.5124614869735156,ARM
AO,-0.1706854838665706,0.9798669665209948,-1.39714212462207,-0.0112836560872209,1.3971421246220697,AGO
AR,-0.6131038021315034,-0.3935024386121341,-1.2062405301961154,-0.3766011961676393,1.206240530196115,ARG
AT,-1.5706667375542334,-1.5404478397586427,1.025333280507286,-0.4700644453237278,-1.0253332805072866,AUT
AU,-1.1444098190432717,-1.769567367602246,-0.146407540452022,0.1235765573069521,0.1464075404520215,AUS
AZ,-0.0090714863268696,0.5175846250483127,0.8739285676867015,-0.6190081620153934,-0.8739285676867019,AZE
BA,-0.3565415810372276,,,-0.1986369272265948,,BIH
BB,,,0.0115799859694576,,-0.0115799859694581,BRB
BD,0.4979924309539428,0.7952235823176202,-1.0877498853800058,0.5746754356539171,1.0877498853800054,BGD
BE,-1.1706720936434734,-1.6159225077541828,-0.2846466260708169,-0.1435832325182138,0.2846466260708164,BEL
BF,1.9080745594878363,0.6361876747555898,,2.943691399423079,,BFA
BG,-0.9322914472724128,-0.5215398218188534,0.5908675828482166,-0.7184462307522365,-0.590867582848217,BGR
BH,0.0555741126890109,0.0957351414303843,1.3544739605520355,-0.6932666339476286,-1.354473960552036,BHR
BI,1.0151572230809864,1.203595446650631,,1.0069963096042256,,BDI
BJ,0.281833709244592,0.335636764701922,,1.330916885446559,,BEN
BN,,,1.0384989077090765,,-1.0384989077090767,BRN
BO,-0.1343223344201387,0.3814606702706424,-1.311565547810435,-0.7184462307522365,1.3115655478104349,BOL
BR,0.8090993762178676,0.1065172368583186,-1.2786514798059605,-0.1081610878608834,1.27865147980596,BRA
BS,,,-0.7783576461379411,,0.7783576461379407,BHS
BT,-1.0817843949966377,-0.0686918138456138,,-0.7184462307522365,,BTN
BW,-0.6636081763626595,-0.2075112924802673,-0.5018794749003519,-0.7184462307522365,0.5018794749003513,BWA
BY,0.3949635075223829,0.2345546200650378,-0.3109778804743968,-0.6190081620153934,0.3109778804743963,BLR
BZ,,,-0.5018794749003519,,0.5018794749003513,BLZ
CA,-1.1726922686127184,-1.7453076528893938,-0.0410825228377025,0.0796189561056869,0.041082522837702,CAN
CF,1.6979763626862243,1.7197882652629852,,-0.3100246351249464,,CAF
CH,-1.5706667375542334,-2.0862914207978154,1.2228176885341355,-0.1785786043483473,-1.2228176885341362,CHE
CI,-0.0110916612961165,,,-0.0979185400081614,,CIV
CL,-0.3484608811602426,-1.0229072592177972,-1.015338935770161,1.4845551032373894,1.0153389357701603,CHL
CM,1.2353562947288297,1.2049432085791232,-1.3444796158149104,2.2450642813019988,1.34447961581491,CMR
CN,0.0434530628735324,0.0553022835756304,1.3873880285565106,0.0766315463153094,-1.387388028556511,CHN
CO,1.2595983943597846,0.1685142855689405,-1.0416701901737409,2.0047911795902285,1.0416701901737402,COL
CR,-0.461590679438034,-0.8382638750144226,-0.5940388653128816,-0.7184462307522365,0.5940388653128812,CRI
CU,0.1040583119509213,0.4245890519823795,0.7027754140634311,-0.7184462307522365,-0.7027754140634316,CUB
CY,-0.2797749322058695,-1.0592968312870756,0.7883519908750668,-0.5703560597149643,-0.7883519908750668,CYP
CZ,-1.2858220668905098,-1.2601133586323514,1.2228176885341355,0.5217556050815206,-1.2228176885341362,CZE
DE,-1.087844919904376,-1.752046462531853,0.3736347340186821,1.3078711527779348,-0.3736347340186821,DEU
