iso2,gpi_score,ppi_score,numbeo_safety_index,gti_score,numbeo_crime_index
AD,,,1.9600928118343748,,-1.9600928118343752
AE,-0.5242161034846676,-0.7088787298792117,1.9469271846325846,-0.21570784031446447,-1.946927184632585
AF,2.338371827937291,1.4610179749925623,-1.9764297215008295,2.380778040350565,1.9764297215008286
AL,-0.5242161034846676,-0.322071056402069,0.024745613171247346,-0.7184462307522365,-0.02474561317124781
AM,-0.3605819309757202,-0.29376805590374166,1.5124614869735156,-0.4111697951705763,-1.5124614869735156
AO,-0.17068548386657062,0.9798669665209948,-1.39714212462207,-0.011283656087220966,1.3971421246220697
AR,-0.6131038021315034,-0.39350243861213413,-1.2062405301961154,-0.3766011961676393,1.206240530196115
AT,-1.5706667375542334,-1.5404478397586427,1.0253332805072861,-0.4700644453237278,-1.0253332805072866
AU,-1.1444098190432717,-1.769567367602246,-0.14640754045202203,0.1235765573069521,0.14640754045202156
AZ,-0.009071486326869646,0.5175846250483127,0.8739285676867015,-0.6190081620153934,-0.8739285676867019
BA,-0.35654158103722766,,,-0.19863692722659482,
BB,,,0.011579985969457645,,-0.011579985969458112
BD,0.49799243095394286,0.7952235823176202,-1.0877498853800058,0.5746754356539171,1.0877498853800054
BE,-1.1706720936434734,-1.6159225077541828,-0.2846466260708169,-0.1435832325182138,0.2846466260708164
BF,1.9080745594878363,0.6361876747555898,,2.943691399423079,
BG,-0.9322914472724129,-0.5215398218188534,0.5908675828482166,-0.7184462307522365,-0.590867582848217
BH,0.05557411268901092,0.09573514143038436,1.3544739605520355,-0.6932666339476286,-1.354473960552036
BI,1.0151572230809864,1.203595446650631,,1.0069963096042256,
BJ,0.281833709244592,0.335636764701922,,1.330916885446559,
BN,,,1.0384989077090763,,-1.0384989077090767
BO,-0.1343223344201387,0.3814606702706424,-1.3115655478104353,-0.7184462307522365,1.3115655478104349
BR,0.8090993762178676,0.10651723685831865,-1.2786514798059605,-0.10816108786088345,1.27865147980596
BS,,,-0.7783576461379411,,0.7783576461379407
BT,-1.0817843949966375,-0.06869181384561383,,-0.7184462307522365,
BW,-0.6636081763626595,-0.20751129248026734,-0.5018794749003519,-0.7184462307522365,0.5018794749003513
BY,0.39496350752238296,0.23455462006503788,-0.3109778804743968,-0.6190081620153934,0.3109778804743963
BZ,,,-0.5018794749003519,,0.5018794749003513
CA,-1.1726922686127184,-1.7453076528893938,-0.041082522837702556,0.07961895610568692,0.041082522837702085
CF,1.6979763626862245,1.7197882652629852,,-0.3100246351249464,
CH,-1.5706667375542334,-2.0862914207978154,1.2228176885341357,-0.1785786043483473,-1.2228176885341362
CI,-0.011091661296116585,,,-0.09791854000816144,
CL,-0.3484608811602426,-1.0229072592177972,-1.015338935770161,1.4845551032373894,1.0153389357701603
CM,1.2353562947288295,1.2049432085791232,-1.3444796158149104,2.2450642813019988,1.34447961581491
CN,0.043453062873532414,0.05530228357563049,1.3873880285565106,0.07663154631530943,-1.387388028556511
CO,1.2595983943597846,0.16851428556894052,-1.0416701901737409,2.0047911795902285,1.0416701901737402
CR,-0.46159067943803406,-0.8382638750144226,-0.5940388653128816,-0.7184462307522365,0.5940388653128812
CU,0.10405831195092134,0.42458905198237956,0.7027754140634311,-0.7184462307522365,-0.7027754140634316
CY,-0.2797749322058695,-1.0592968312870756,0.7883519908750668,-0.5703560597149643,-0.7883519908750668
CZ,-1.2858220668905098,-1.2601133586323514,1.2228176885341357,0.5217556050815206,-1.2228176885341362
DE,-1.087844919904376,-1.752046462531853,0.3736347340186821,1.3078711527779348,-0.3736347340186821
DJ,0.41314508224559915,0.8949579650260128,,-0.09493113021778395,
DK,-1.3706694155988535,-2.1617660887933554,1.2557317565386106,-0.4111697951705763,-1.255731756538611
DO,-0.15250390914335488,0.12538590385720336,-1.015338935770161,-0.7184462307522365,1.0153389357701603
DZ,-0.05957586055802701,0.4879338626214937,-0.49529666129945676,0.3122101469279159,0.4952966612994563
EC,0.7828371016176664,0.24129342970749668,-1.1469952077880607,-0.05694834859727335,1.1469952077880603
EE,-1.035320370703973,-1.3180671215574984,1.4071364693591952,-0.7184462307522365,-1.4071364693591957
EG,0.172744260905294,0.7777026772472272,-0.14640754045202203,1.1661825741486136,0.14640754045202156
ER,0.9505116240651059,1.5041463567042994,,-0.7184462307522365,
