gpi_score,ppi_score,gti_score,pvi_score,iso3
-0.9106037776533286,-1.0254735649453923,-0.5217209202999922,1.823856990079992,AND
-0.45513942095004406,-0.638579125416847,-0.19089313594481866,0.8796343821858748,ARE
2.4056451244779424,1.527276394892465,2.4835105845134264,-2.4155966089802017,AFG
-0.45513942095004406,-0.25249183701388234,-0.7087181824109287,0.3645667456296772,ALB
-0.29160833543157777,-0.22424154761854356,-0.3922207006998938,-0.6908572153304525,ARM
-0.10183152013854206,1.0470214751717044,0.01966560536016159,-0.1824692300443198,AGO
-0.5439711217255074,-0.3237901864402142,-0.3566147340074022,0.04056167116118585,ARG
-1.5009308073520886,-1.4685995328894215,-0.45288271802784213,0.9322251566386853,AUT
-1.0749424240879357,-1.6972923518040692,0.158572833444449,1.1292837760941707,AUS
0.05968066308957264,0.5856000817145032,-0.6062960806905519,-0.5881689398701824,AZE
-0.2875705308508748,0.5134945811625906,-0.17330994251642823,-0.19483908806947017,BIH
-1.257047410677635,-1.4123680044739373,-0.3312949354705193,1.4107691545312566,BRB
0.566425137967783,0.8627219681640175,0.6232087197896764,-0.773590481659432,BGD
-1.1011881538625046,-1.5439336379436586,-0.11660414370986762,0.5943900526600705,BEL
1.975618936633086,0.7039822467997326,3.063316387814614,-1.947777898890976,BFA
-0.8629576836010339,-0.451589114657223,-0.7087181824109287,0.529778493374152,BGR
0.12428553638081863,0.1645362445363578,-0.6827829721040525,-0.2163037346991102,BHR
1.0832641242977505,1.2703332865824777,1.0685030933636743,-1.0484834771244633,BDI
0.35040259290017894,0.4039910784587537,1.4021441886673902,-0.18773722845603216,BEN
-1.3430526482466065,-1.8261674815218527,-0.16258419452510944,1.5972009522822388,BRN
-0.06549127891221707,0.449729642241683,-0.7087181824109287,-0.15295086413787057,BOL
0.8773360906819043,0.17529825954410594,-0.08011901734595651,-0.2523662445077391,BRA
-0.604941970894121,-0.2511465851379139,-0.7035311403495533,1.2246561757198577,BHS
-1.0123564530870415,0.0004155156681984266,-0.7087181824109287,1.197805495607344,BTN
-0.5944436789842927,-0.13814542755655843,-0.7087181824109287,1.2557965609371593,BWA
0.46346112115985943,0.3030971877611146,-0.6062960806905519,-0.5867220162688551,BLR
-0.5665828273774436,-0.9625157771500656,-0.35186727178173677,0.7835323394492127,BLZ
-1.1032070561528549,-1.6730778180366357,0.1132961103663427,1.0306474582558576,CAN
1.7656530984365364,1.7855647550784204,-0.28804027963667805,-2.1227483669843163,CAF
-1.5009308073520886,-2.01342654265667,-0.15264969023806876,1.2901953353558442,CHE
0.05766176079922057,0.458877354998269,-0.06956910128892203,-0.4850206382509747,CIV
-0.27949492168946916,-0.952022812517511,1.560392929522908,0.3153833641246758,CHL
1.3033244739460574,1.2716785384584468,2.34372419675772,-1.286154299268527,CMR
0.1121721226387091,0.12417868825730194,0.11021905151637405,-0.36131323643099306,CHN
1.3275513014302744,0.23717984583865748,2.096240749253119,-0.5741602270056165,COL
-0.39255344994915015,-0.7677233055098241,-0.7087181824109287,1.1992504933732997,CRI
0.17273919134925314,0.4927777022726755,-0.7087181824109287,0.5739229887529452,CUB
-0.21085224381752024,-0.9883446131686612,-0.5561839794196384,0.6004081639490411,CYP
-1.2162655844125358,-1.18878714268797,0.5687008201616655,1.1817142092213613,CZE
-1.0184131599580952,-1.6798040774164786,1.3784068775390628,0.7852661503971957,DEU
0.48163124177302213,0.9622706069856881,-0.06649204243895339,-0.36506948513781873,DJI
-1.301059480607297,-2.0887606477109073,-0.3922207006998938,1.0602763112012903,DNK
-0.08366139952537971,0.1941317858076649,-0.7087181824109287,0.42258436885050016,DOM
0.00920810583078596,0.5560045404431961,0.35286712082816774,-0.42883960967562956,DZA
0.8510903609073358,0.3098234471409571,-0.027369437060783985,-0.1789619421520711,ECU
-0.9659217004089579,-1.2466329733546164,-0.7087181824109287,0.8619189953443721,EST
0.24138186922120167,0.8452336937764269,1.232466372083419,-0.7299275693709942,EGY
1.0186592510065045,1.5703244549234574,-0.7087181824109287,-0.6528037023661437,ERI
-0.927562556892281,-1.0919290076182366,-0.15660590875945643,0.472902269291501,ESP
1.313418985397815,1.065855001435264,-0.362768851707339,-1.87933892817506,ETH
-1.2465491187678077,-2.091451151462844,-0.29155691832235614,0.9176308655736938,FIN
-0.5407408780609453,-0.3278259420681195,-0.4702900795219489,0.9492706012657393,FJI
-0.14220956594557127,-1.4780162960212013,0.48342233203396956,0.531692587362409,FRA
0.40491295473966793,0.749720810582662,-0.7087181824109287,-0.17623884199841522,GAB
-0.8145040286326002,-1.3663603903158141,0.4513330040271561,0.7101673303474992,GBR
0.29791113335104197,-0.3291711939440876,-0.7087181824109287,-0.1762667976731651,GEO
-0.28151382397982083,0.08113062822630944,-0.7087181824109287,0.1509344199689761,GHA
-0.36832662246493286,0.3975338694541047,-0.7087181824109287,0.1609409528142533,GMB
0.4351964890949402,1.287821560970069,-0.7087181824109287,-0.7415079902030716,GIN
-0.06751018120256824,1.4694305642258185,-0.7087181824109287,-0.07184997625032348,GNQ
-0.5520467308869131,-0.8053903580369426,0.57837157654728,0.4233452757243992,GRC
0.27570320815717586,0.9044247763190416,-0.7087181824109287,-0.08122366930323441,GTM
0.15053126615538756,1.18692767027243,-0.7087181824109287,-0.16804450567761567,GNB
0.2252306508983901,0.3017519358851463,-0.7087181824109287,0.11596510323187459,GUY
0.6249733043879742,0.6111598673579051,-0.7087181824109287,-0.30515621867407217,HND
-1.0466777920230155,-0.8228786324245339,-0.7087181824109287,0.7964420836775038,HRV
