iso2,gpi_score,ppi_score,numbeo_safety_index,gti_score,numbeo_crime_index
SY,3.184,4.161,31.9,8.006,68.1
TD,2.593,4.257,,5.032,
TG,2.3810000000000002,3.572,,5.004,
TH,2.017,3.032,62.7,4.63,37.3
TJ,1.996,3.677,,0.999,
TL,1.758,3.314,,0.0,
TM,2.019,3.687,,0.0,
TN,1.998,3.025,54.9,2.184,45.1
TR,2.852,3.295,58.8,3.968,41.2
TT,2.02,,,0.0,
TW,1.73,2.329,82.9,0.0,17.1
TZ,1.965,3.367,46.5,1.573,53.5
UA,3.434,3.062,53.0,2.003,47.0
UG,2.217,3.674,45.9,3.702,54.1
US,2.443,2.181,50.8,3.517,49.2
UY,1.784,2.161,48.0,0.059000000000000004,52.0
UZ,1.926,3.351,72.1,0.233,27.9
VE,2.692,3.973,19.3,0.71,80.7
VN,1.721,3.161,59.2,0.0,40.8
YE,3.262,4.385,36.3,5.08,63.7
ZA,2.347,3.092,25.3,0.0,74.7
ZM,1.914,3.446,54.4,0.0,45.6
ZW,2.223,3.806,39.3,0.0,60.7
